"objectid","object_location","exists_exact","status","suggested_file"
"8-05-1991_estadosalteradosvida","","False","EmptyObjectLocation",""
"1991-05-16_signosvitales","","False","EmptyObjectLocation",""
"1991-05-17_informationsociety","https://www.eltiempo.com/archivo/documento/MAM-84687","False","MatchByObjectId","1991-05-17_informationsociety.jpg"
"1990-02-18_informationsociety","","False","EmptyObjectLocation",""
"1991-05-17_technosociety","","False","EmptyObjectLocation",""
"1991-05-18_superuff","","False","EmptyObjectLocation",""
"1991-05-18_erickrockolo","","False","EmptyObjectLocation",""
"1989-07-22_conciertorocknacional","","False","EmptyObjectLocation",""
"1991-05-22_todaslasvoces","","False","EmptyObjectLocation",""
"1991-05-22_informationsociety","","False","EmptyObjectLocation",""
"1991-05-22_informaticaalterada","","False","EmptyObjectLocation",""
"1991-05-24_megabitfilosofico","","False","EmptyObjectLocation",""
"1991-06-02_rockeroseerespete","","False","EmptyObjectLocation",""
"1987-07-17_sodamedellin","","False","EmptyObjectLocation",""
"1991-06-14_calimetalero","","False","EmptyObjectLocation",""
"1988-09-16_tecnoestadosalterados","","False","EmptyObjectLocation",""
"1991-07-19_vuelveeltitan","","False","EmptyObjectLocation",""
"1991-07-10_estadotecno","","False","EmptyObjectLocation",""
"1991-07-20_comunasalegria","","False","EmptyObjectLocation",""
"1991-07-23_rockdebarrio","","False","EmptyObjectLocation",""
"1991-07-25_aceroymetal","","False","EmptyObjectLocation",""
"1992-11-13_dardos","","False","EmptyObjectLocation",""
"1992-15-11_masgunsqueroses","","False","EmptyObjectLocation",""
"1992-11-17_axlrebeldia","","False","EmptyObjectLocation",""
"1992-11-20_rebeldescausa","","False","EmptyObjectLocation",""
"1992-11-21_elcamello","","False","EmptyObjectLocation",""
"1992-11-21_axlslash","","False","EmptyObjectLocation",""
"1992-11-21_gunsnhistoria","","False","EmptyObjectLocation",""
"1992-11-21_fechasdelrock","","False","EmptyObjectLocation",""
"1992-11-26_faxmillonario","","False","EmptyObjectLocation",""
"1992-11-27_gunsnews","","False","EmptyObjectLocation",""
"1992-11-27_porfin","","False","EmptyObjectLocation",""
"1992-27-11_gunsempresa","","False","EmptyObjectLocation",""
"1992-11-28_gunsaplazado","","False","EmptyObjectLocation",""
"1992-11-28_gunsnrosesnoche","","False","EmptyObjectLocation",""
"1992-11-30_gunsndiez","","False","EmptyObjectLocation",""
"1992-12-1_gunsnroses","","False","EmptyObjectLocation",""
"1992-12-01_desconcierto","","False","EmptyObjectLocation",""
"1992-12-01_gunsnroseslluvia","https://www.eltiempo.com/archivo/documento/MAM-195047","False","MatchByObjectId","1992-12-01_gunsnroseslluvia.jpg"
"1992-12-04_capsulasradioactivas","","False","EmptyObjectLocation",""
"1992-12-04_rocknoviolencia","","False","EmptyObjectLocation",""
"1992-12-06_letsgetcrazy","","False","EmptyObjectLocation",""
"1992-12-06_ritualrock","","False","EmptyObjectLocation",""
"1992-12-06_rockydisturbios","","False","EmptyObjectLocation",""
"1992-12-06_golalrock","","False","EmptyObjectLocation",""
"1992-12-07_visosrock","","False","EmptyObjectLocation",""
"1992-15-12_tutelarock","","False","EmptyObjectLocation",""
"1992-12-31_concierto92","","False","EmptyObjectLocation",""
"1993-06-04_companiaencompacto","https://www.eltiempo.com/archivo/documento/MAM-150552","False","MatchByObjectId","1993-06-04_companiaencompacto.jpg"
"1993-06-11_kronos","","False","EmptyObjectLocation",""
"1993-07-02_aterciopelados","","False","EmptyObjectLocation",""
"1993-07-09_zigma","","False","EmptyObjectLocation",""
"1993-08-06_seguridadsocial","","False","EmptyObjectLocation",""
"1993-08-06_ekhymosisnumero1","","False","EmptyObjectLocation",""
"1993-13-08_vuelveyjuega","","False","EmptyObjectLocation",""
"1993-08-19_tiemposrock","","False","EmptyObjectLocation",""
"1993-08-20_galaaterciopelados","https://www.eltiempo.com/archivo/documento/MAM-200635","False","MatchByObjectId","1993-08-20_galaaterciopelados.jpg"
"1993-08-20_perseorock","","False","EmptyObjectLocation",""
"1993-08-20_nochemagica","","False","EmptyObjectLocation",""
"1993-09-23_rockcalavera","","False","EmptyObjectLocation",""
"1993-09-24_conciertizacion","https://www.eltiempo.com/archivo/documento/MAM-227484","False","MatchByObjectId","1993-09-24_conciertizacion.jpg"
"1993-09-24_conciertosalpicon","","False","EmptyObjectLocation",""
"1993-09-24_loscriollostienenestrella","","False","EmptyObjectLocation",""
"1993-10-01_ekhymosisnoesta","","False","EmptyObjectLocation",""
"1993-10-01_arrierosrock","https://www.eltiempo.com/archivo/documento/MAM-233224","False","MatchByObjectId","1993-10-01_arrierosrock.jpg"
"1993-10-01_rockactividad","","False","EmptyObjectLocation",""
"1993-10-08_dicenrockbogota","","False","EmptyObjectLocation",""
"1991-05-24_rockbienparado","","False","EmptyObjectLocation",""
"1992-10-08_lapestilencia","","False","EmptyObjectLocation",""
"1993-10-13_llegolahora","","False","EmptyObjectLocation",""
"1993-10-15_confesionesproductor","","False","EmptyObjectLocation",""
"1993-10-22_companiaensolitario","","False","EmptyObjectLocation",""
"1993-10-22_lapestilencia","https://www.eltiempo.com/archivo/documento/MAM-246654","False","MatchByObjectId","1993-10-22_lapestilencia.jpg"
"1993-12-07_dirigibletriste","","False","EmptyObjectLocation",""
"1993-12-10_companiaenalza","","False","EmptyObjectLocation",""
"1993-12-21_cronicailimitada","","False","EmptyObjectLocation",""
"1992-04-15_krakenpielcobre","","False","EmptyObjectLocation",""
"1994-01-14_poligamiabeverly","","False","EmptyObjectLocation",""
"1994-01-18_poligamia","","False","EmptyObjectLocation",""
"1994-07-03_inxsdiablo","https://www.eltiempo.com/archivo/documento/MAM-67183","False","MatchByObjectId","1994-07-03_inxsdiablo.jpg"
"1994-03-11_rocksinradicalismos","","False","EmptyObjectLocation",""
"1945-03-12_inxschevere","","False","EmptyObjectLocation",""
"1994-03-22_descargavivo","","False","EmptyObjectLocation",""
"1994-03-22_masderecha","","False","EmptyObjectLocation",""
"1994-03-25_genesisaniversario","","False","EmptyObjectLocation",""
"1994-04-09_apocalipsiscaleno","","False","EmptyObjectLocation",""
