"objectid","object_location","exists_exact","absolute_path"
"1993-08-20_galaaterciopelados","https://www.eltiempo.com/archivo/documento/MAM-200635","False",".\objects\MAM-200635"
"1993-08-20_perseorock","","False",
"1993-08-20_nochemagica","","False",
"1993-09-23_rockcalavera","","False",
"1993-09-24_conciertizacion","https://www.eltiempo.com/archivo/documento/MAM-227484","False",".\objects\MAM-227484"
"1993-09-24_conciertosalpicon","","False",
"1993-09-24_loscriollostienenestrella","","False",
"1993-10-01_ekhymosisnoesta","","False",
"1993-10-01_arrierosrock","https://www.eltiempo.com/archivo/documento/MAM-233224","False",".\objects\MAM-233224"
"1993-10-01_rockactividad","","False",
"1993-10-08_dicenrockbogota","","False",
"1991-05-24_rockbienparado","","False",
"1992-10-08_lapestilencia","","False",
"1993-10-13_llegolahora","","False",
"1993-10-15_confesionesproductor","","False",
"1993-10-22_companiaensolitario","","False",
"1993-10-22_lapestilencia","https://www.eltiempo.com/archivo/documento/MAM-246654","False",".\objects\MAM-246654"
"1993-12-07_dirigibletriste","","False",
"1993-12-10_companiaenalza","","False",
"1993-12-21_cronicailimitada","","False",
"1992-04-15_krakenpielcobre","","False",
"1994-01-14_poligamiabeverly","","False",
"1994-01-18_poligamia","","False",
"1994-07-03_inxsdiablo","https://www.eltiempo.com/archivo/documento/MAM-67183","False",".\objects\MAM-67183"
"1994-03-11_rocksinradicalismos","","False",
"1945-03-12_inxschevere","","False",
"1994-03-22_descargavivo","","False",
"1994-03-22_masderecha","","False",
"1994-03-25_genesisaniversario","","False",
"1994-04-09_apocalipsiscaleno","","False",
"1990-04-12_launionramazzotti","https://www.semana.com/cultura/articulo/la-hora-de-ramazzotti/22382-3/","True",".\objects\"
"1994-04-25_caifaneseldorado","","False",
"1994-07-26_pacificoekhymosis","https://www.semana.com/cultura/articulo/musica/23296-3/","True",".\objects\"
"1994-08-02_caifanesevolucion","https://www.semana.com/en-constante-evolucion/23372-3/","True",".\objects\"
"1994-08-05_distritoespecial","https://www.eltiempo.com/archivo/documento/MAM-189534","False",".\objects\MAM-189534"
"1994-09-11_1280almas","","False",
"1994-09-23_catedral","","False",
"1994-09-23_prevencionrock","https://www.eltiempo.com/archivo/documento/MAM-226356","False",".\objects\MAM-226356"
"1994-09-27_tandaconciertos","https://www.semana.com/tanda-de-conciertos/23873-3/","True",".\objects\"
"1994-11-11_duncandhuraices","https://www.eltiempo.com/archivo/documento/MAM-248228","False",".\objects\MAM-248228"
"1994-11-12_divisiones","https://www.eltiempo.com/archivo/documento/MAM-248540","False",".\objects\MAM-248540"
"1994-11-18_discofindeaño","https://www.eltiempo.com/archivo/documento/MAM-250817","False",".\objects\MAM-250817"
"1994-11-25_ex3resurreccion","https://www.eltiempo.com/archivo/documento/MAM-254304","False",".\objects\MAM-254304"
"1994-12-02_encantadores","https://www.eltiempo.com/archivo/documento/MAM-257473","False",".\objects\MAM-257473"
"1994-12-09_lorockeronoquitalolatino","https://www.eltiempo.com/archivo/documento/MAM-261569","False",".\objects\MAM-261569"
"1994-12-23_juanitadientes","","False",
"1995-04-28_estadoslinea","","False",
"1995-05-05_amorcorrespondido","","False",
"1995-05-5_caifanesraices","","False",
"1995-05-09_aterciopeladoscaifanes","https://www.semana.com/cultura/articulo/gira-de-caifanes-aterciopelados/25678-3","False",".\objects\25678-3"
